Date,Type,Confirmation Code,Start Date,Nights,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Earnings Year
01/30/2023,Payout,,,,PHP,,16714.07,,,
01/30/2023,Reservation,HMQ2TSTFTP,01/29/2023,13,PHP,16714.07,,516.93,500,2023
01/25/2023,Payout,,,,PHP,,6532.95,,,
01/25/2023,Reservation,HMCRYM5SMM,01/24/2023,5,PHP,6532.95,,202.05,300,2023
01/22/2023,Payout,,,,PHP,,3207.79,,,
01/22/2023,Reservation,HMB3WQ5P3B,01/21/2023,2,PHP,3207.79,,99.21,500,2023
01/20/2023,Payout,,,,PHP,,2829.49,,,
01/20/2023,Reservation,HMF48393S4,01/19/2023,2,PHP,2829.49,,87.51,300,2023
01/17/2023,Payout,,,,PHP,,4521.17,,,
01/17/2023,Reservation,HM3MKKKJCT,01/16/2023,3,PHP,4521.17,,139.83,500,2023
01/14/2023,Payout,,,,PHP,,4242.78,,,
01/14/2023,Reservation,HMNKZ8T5CK,01/13/2023,3,PHP,4242.78,,131.22,500,2023
01/08/2023,Payout,,,,PHP,,4879.4,,,
01/08/2023,Resolution Adjustment,HMRP5SMHXH,01/05/2023,2,PHP,-1675.86,,,,2023
01/08/2023,Reservation,HM55AHHS95,01/07/2023,5,PHP,6555.26,,202.74,300,2023
01/06/2023,Payout,,,,PHP,,2787.78,,,
01/06/2023,Reservation,HMRP5SMHXH,01/05/2023,2,PHP,2787.78,,86.22,300,2023
01/02/2023,Payout,,,,PHP,,4119.59,,,
01/02/2023,Reservation,HMDY8XRC5B,01/01/2023,3,PHP,4119.59,,127.41,350,2023
01/01/2023,Payout,,,,PHP,,1539.39,,,
01/01/2023,Reservation,HM3MQPBJBW,12/31/2022,1,PHP,1539.39,,47.61,300,2023
12/27/2022,Payout,,,,PHP,,2520.06,,,
12/27/2022,Reservation,HM38HBFTH3,12/26/2022,2,PHP,2520.06,,77.94,0,2022
12/26/2022,Payout,,,,PHP,,1636.39,,,
12/26/2022,Reservation,HMATE95PDX,12/25/2022,1,PHP,1636.39,,50.61,400,2022
12/22/2022,Payout,,,,PHP,,5767.62,,,
12/22/2022,Reservation,HMZX83PXFA,12/21/2022,4,PHP,5767.62,,178.38,350,2022
12/17/2022,Payout,,,,PHP,,6851.11,,,
12/17/2022,Reservation,HMYZFJQTSB,12/16/2022,5,PHP,6851.11,,211.89,499,2022
12/16/2022,Payout,,,,PHP,,1539.39,,,
12/16/2022,Reservation,HM4PMSXKYB,12/15/2022,1,PHP,1539.39,,47.61,300,2022
12/14/2022,Payout,,,,PHP,,2997.3,,,
